name,logo
Amazon,https://media.licdn.com/dms/image/v2/C560BAQHTvZwCx4p2Qg/company-logo_100_100/company-logo_100_100/0/1630640869849/amazon_logo?e=1737590400&v=beta&t=SDAznfKWVbhZwKEb02_jfXp6TvJZZUaal5_he4EyUfQ
Microsoft,https://media.licdn.com/dms/image/v2/C560BAQE88xCsONDULQ/company-logo_100_100/company-logo_100_100/0/1630652622688/microsoft_logo?e=1737590400&v=beta&t=a5BfYMPshbXnoxiHk30Wl0sC4qhcQk7-W9RQlCJo1ug
Apple,https://media.licdn.com/dms/image/v2/C560BAQHdAaarsO-eyA/company-logo_100_100/company-logo_100_100/0/1630637844948/apple_logo?e=1737590400&v=beta&t=f89A6-JCbqeUu19rEqWKf0gQzWI9CWhWsVpHCoI9i48
IBM,https://media.licdn.com/dms/image/v2/D560BAQGiz5ecgpCtkA/company-logo_100_100/company-logo_100_100/0/1688684715866/ibm_logo?e=1737590400&v=beta&t=zu87Zrft0v0EmjTUwuSu_lp9KmUcTVe6p63JebbMjXA
Stanford University,https://media.licdn.com/dms/image/v2/C560BAQHr9suxyJBXMw/company-logo_100_100/company-logo_100_100/0/1635534378870/stanford_university_logo?e=1737590400&v=beta&t=SIks2BZRKSVJQWnhz_uy0cgqV-Bn0wtGQw0XUIaOF3E
Walmart,https://media.licdn.com/dms/image/v2/C560BAQE4Th_qgWovfg/company-logo_100_100/company-logo_100_100/0/1655487552700/walmart_logo?e=1737590400&v=beta&t=H0gQ_l-gFGBCz1Vu3m4WLNjLlcJfPbD-ApzJfG8WO48
Google,https://media.licdn.com/dms/image/v2/C4D0BAQHiNSL4Or29cg/company-logo_100_100/company-logo_100_100/0/1631311446380?e=1737590400&v=beta&t=ngvPgSJ8bXSNCHJI7yPJ1lPy-6xzgaRZd-iSaeVP61s
LinkedIn,https://media.licdn.com/dms/image/v2/C560BAQHaVYd13rRz3A/company-logo_100_100/company-logo_100_100/0/1638831590218/linkedin_logo?e=1737590400&v=beta&t=aiR6j_5ng7JJ6AAVvEy0nLUniaCQbB0LyIq0Vnp02e4
Dell Technologies,https://media.licdn.com/dms/image/v2/D560BAQGKdw9DkNctbQ/company-logo_100_100/company-logo_100_100/0/1725894975812/delltechnologies_logo?e=1737590400&v=beta&t=caFdxktH-VzxG6WJQz2QfL8YbihAuM5oiKynEA2wz68
ExxonMobil,https://media.licdn.com/dms/image/v2/C4D0BAQE_IRWZ2qVHpw/company-logo_100_100/company-logo_100_100/0/1631303598129?e=1737590400&v=beta&t=HHEUVe3LyWFvJGugvS9V5HgXDRuwamL_bl0iObR-8xM
PepsiCo,https://media.licdn.com/dms/image/v2/C4E0BAQES6SfNFl84wA/company-logo_100_100/company-logo_100_100/0/1679328336145/pepsico_logo?e=1737590400&v=beta&t=r7ogzHuASu4EQm6pP1BU4Os44jjewmNkSpMTx0fx5vQ
Citi,https://media.licdn.com/dms/image/v2/D4E0BAQFgF4xtqyXBcg/company-logo_100_100/company-logo_100_100/0/1719257286385/citi_logo?e=1737590400&v=beta&t=egrWToeC1NWY-vNz7XyGwpDD6brOXZTeWpwXTJbguH8
Oracle,https://media.licdn.com/dms/image/v2/D4E0BAQHYCgYovUuPtQ/company-logo_100_100/company-logo_100_100/0/1665755678957/oracle_logo?e=1737590400&v=beta&t=2YZ9M44m0MMS1zRcH9MEd0yr07TLkjyrotlI7t0xs34
Pfizer,https://media.licdn.com/dms/image/v2/D4D0BAQGUWkaCJOWLdA/company-logo_100_100/company-logo_100_100/0/1720685515776/pfizer_logo?e=1737590400&v=beta&t=vRohUwQZif6A2F9aB5yRbso2fj08vHHDclRHu2j0JpA
Boeing,https://media.licdn.com/dms/image/v2/D560BAQG8NhuAoYdTgw/company-logo_100_100/company-logo_100_100/0/1708109812925/boeing_logo?e=1737590400&v=beta&t=LAhlwxW5duQp9F0zHR8jSBnmzmLqBRTz54EoxMgGKZ4
The Walt Disney Company,https://media.licdn.com/dms/image/v2/D4E0BAQHScKuaJ_0-WA/company-logo_100_100/company-logo_100_100/0/1712695425017/the_walt_disney_company_logo?e=1737590400&v=beta&t=6hAbCq4uP9UJHMSCLAUFwMy1Og9-c7GgwHaDF3lpnLM
HP,https://media.licdn.com/dms/image/v2/D560BAQFnbsxkkHSLSw/company-logo_100_100/company-logo_100_100/0/1719847190456/hp_logo?e=1737590400&v=beta&t=g7ak1TKqCtrX0x1ZmUP3Kw75fLdvV6ehhZfc9JE8mzE
TED Conferences,https://media.licdn.com/dms/image/v2/C4E0BAQFDYasy3Lvq9Q/company-logo_100_100/company-logo_100_100/0/1675197543507/ted_conferences_logo?e=1737590400&v=beta&t=do905O-_AD1z5HH2-RVQK3He97a-VOuIFWVCvnqzHyI
LinkedIn Guide to Networking,https://media.licdn.com/dms/image/v2/C560BAQGoCnyxrg-bww/company-logo_100_100/company-logo_100_100/0/1630563741668/linkedin_member_guide_logo?e=1737590400&v=beta&t=gkwYZqGVxLdFw9SxD1OOxtBV62AP0KEylCGfaM4qZq4
LinkedIn News,https://media.licdn.com/dms/image/v2/C4E0BAQHcgw1ektoWNw/company-logo_100_100/company-logo_100_100/0/1630643541065/linkedin_news_logo?e=1737590400&v=beta&t=Q-IUvcOS3UOPNZAhMCLhwvvXuMp5KFpPNKjgdqy64-g
GE,https://media.licdn.com/dms/image/v2/D4E0BAQHNSdSY_UJ_rg/company-logo_100_100/company-logo_100_100/0/1688184041602/ge_logo?e=1737590400&v=beta&t=a356GwiZEGa33hcyC4lixhdoWzJf3e1Ry_vgEhG-QB0
Goldman Sachs,https://media.licdn.com/dms/image/v2/D4E0BAQG9L7InIQVZrQ/company-logo_100_100/company-logo_100_100/0/1722506756452/goldman_sachs_logo?e=1737590400&v=beta&t=r5hwuHs7n3tQuvKBDhpsSILaF7FmNQs2GBkQU47m3Pg
Ford Motor Company,https://media.licdn.com/dms/image/v2/C560BAQHZnQf3t8fKKg/company-logo_100_100/company-logo_100_100/0/1630670609155/ford_motor_company_logo?e=1737590400&v=beta&t=UZ053jXmkcb5oDByJ0CV7rmEyBlcvkIqjSFM0BL-LUU
Chevron,https://media.licdn.com/dms/image/v2/C560BAQFIzPIYfEdWdw/company-logo_100_100/company-logo_100_100/0/1630597725146/chevron_logo?e=1737590400&v=beta&t=nU69fK8_fEgacz-3YaO15MnOE2PG9UXm-w1tNzdh87U
Verizon,https://media.licdn.com/dms/image/v2/D4E0BAQFcVBjsbfJrBQ/company-logo_100_100/company-logo_100_100/0/1719399854965/verizon_logo?e=1737590400&v=beta&t=qPTahpQMcK81mu2tNriEXI7sRQJu5K5h6237PHEZkOQ
Cisco,https://media.licdn.com/dms/image/v2/D560BAQEtoQW10RlJSw/company-logo_100_100/company-logo_100_100/0/1728669425037/cisco_logo?e=1737590400&v=beta&t=Rbm96r0dttZb39_fXbdIdNXsljJyHE4--2jMXHny5SQ
Meta,https://media.licdn.com/dms/image/v2/C4E0BAQFdNatYGiBelg/company-logo_100_100/company-logo_100_100/0/1636138754252/facebook_logo?e=1737590400&v=beta&t=JoCOJ7Sb8EegWKbe1QRqwKAGGJkLXxWIe_bf3ah-jjQ
Forbes,https://media.licdn.com/dms/image/v2/D4E0BAQF67bPz45hiLw/company-logo_100_100/company-logo_100_100/0/1696813943410/forbes_magazine_logo?e=1737590400&v=beta&t=TUROlkxcqHfaB-ryJnbShB0fbasWQxLulDTn6C0Vf40
General Motors,https://media.licdn.com/dms/image/v2/C4D0BAQGi5bqIMQIO6g/company-logo_100_100/company-logo_100_100/0/1644857989078/general_motors_logo?e=1737590400&v=beta&t=YVxEbL6qbMDE7uqxcq1C8GcmPBDHFp24smTDvaAhF6w
Johnson & Johnson,https://media.licdn.com/dms/image/v2/D4E0BAQFuqNYNGYIxzg/company-logo_100_100/company-logo_100_100/0/1694701608948/johnson__johnson_logo?e=1737590400&v=beta&t=2AMQeDW8d8YxFb5zXidJjujKMw3HckIRhOOuY1qCPg0
Procter & Gamble,https://media.licdn.com/dms/image/v2/C4D0BAQGGCd-fMXfRWw/company-logo_100_100/company-logo_100_100/0/1661448432247/procter_and_gamble_logo?e=1737590400&v=beta&t=N5ofzhUnqLAfKLLPrmeUiLwc5kQKYP6imf8UFDyoO4w
Shell,https://media.licdn.com/dms/image/v2/C4D0BAQGN30g7aSl4NA/company-logo_100_100/company-logo_100_100/0/1631303787196?e=1737590400&v=beta&t=slKyFjaFnUEOXOJgAOdI7fxCPbMIY0IfBO_069bTvzE
Unilever,https://media.licdn.com/dms/image/v2/C4E0BAQF6TJKa56uLAg/company-logo_100_100/company-logo_100_100/0/1663661971310/unilever_logo?e=1737590400&v=beta&t=onpLYYb2BnvqFmgQNkZ84JPF9PquajSB5BN-xzsF6VI
Tesla,https://media.licdn.com/dms/image/v2/C4D0BAQHUcu98SZ2TVw/company-logo_100_100/company-logo_100_100/0/1630576446368/tesla_motors_logo?e=1737590400&v=beta&t=fXGk6ASJw5ivbnmfc85AGoxe7gZKjki7_Yfb9QHrGms
Lockheed Martin,https://media.licdn.com/dms/image/v2/C4E0BAQHF1YKEZdN4LA/company-logo_100_100/company-logo_100_100/0/1668532986109/lockheed_martin_logo?e=1737590400&v=beta&t=0_dlTEI7UgCFzMQiZ47P_cWiQ-FXfGttGWZlWH-P9xY
Abbott,https://media.licdn.com/dms/image/v2/C560BAQGpGXPy6iJfsw/company-logo_100_100/company-logo_100_100/0/1657315785276/abbott__logo?e=1737590400&v=beta&t=SLTxa9EeZmiYdiNjfIgVrUHkRBn6XNL0fFpzJ1KC80M
Target,https://media.licdn.com/dms/image/v2/C4E0BAQGUjozudTh0yg/company-logo_100_100/company-logo_100_100/0/1631307593526?e=1737590400&v=beta&t=vxldkD5rN8eTMKLUB3MvBQGdJVXiiHOt7v8Xbyre2Yw
Netflix,https://media.licdn.com/dms/image/v2/C4E0BAQEVb0ZISWk8vQ/company-logo_100_100/company-logo_100_100/0/1631355051964?e=1737590400&v=beta&t=97A-iJaZ9K8VuX27R3aNW9LUq-A-EHFNaALzzLP-lhI
Business Insider,https://media.licdn.com/dms/image/v2/D4E0BAQH5XQv8BsAq5w/company-logo_100_100/company-logo_100_100/0/1699965585156/insiderbusiness_logo?e=1737590400&v=beta&t=o4D5AkY8wbIKkz-6QmGfbTJWB4AtvTZY-FEi9723hBk
Hewlett Packard Enterprise,https://media.licdn.com/dms/image/v2/C4E0BAQH6qdm7VJ5BPA/company-logo_100_100/company-logo_100_100/0/1630642519868/hewlett_packard_enterprise_logo?e=1737590400&v=beta&t=wUb7gcoZHw3Dzr3c07g76qRATgqdyEuf5199Xtt-V1A
UPS,https://media.licdn.com/dms/image/v2/C4D0BAQFX6tdg3bkrBQ/company-logo_100_100/company-logo_100_100/0/1630543904509/ups_logo?e=1737590400&v=beta&t=RXXzhZ4XCWhbQlXc069PD5BxqYjPPYZNzNeFiFWhAdY
Amazon Web Services (AWS),https://media.licdn.com/dms/image/v2/C560BAQER_QnUTXrPJw/company-logo_100_100/company-logo_100_100/0/1670264051233/amazon_web_services_logo?e=1737590400&v=beta&t=354bj7gCtJWOLFZV5oD5s_wx-RttZUA6QP1Rijp7cnU
AT&T,https://media.licdn.com/dms/image/v2/C560BAQE6Wr9RUG3OuA/company-logo_100_100/company-logo_100_100/0/1631399436556/att_logo?e=1737590400&v=beta&t=yUqmeEAX8mjbtpMJHLplUMXzNyr9xze_cFHTYY8akSQ
The Wall Street Journal,https://media.licdn.com/dms/image/v2/C4D0BAQErTDc9V8YLdg/company-logo_100_100/company-logo_100_100/0/1630536546293/the_wall_street_journal_logo?e=1737590400&v=beta&t=faMbPJ4ROFRoMJtyPbwpsxF0stm7JwyVZO3NbzY2syg
Salesforce,https://media.licdn.com/dms/image/v2/C560BAQHZ9xYomLW7zg/company-logo_100_100/company-logo_100_100/0/1630658255326/salesforce_logo?e=1737590400&v=beta&t=01TkuK5IjPJ9c3NS6_Y-SxNWwj0-neN51KuDpDFM1Bg
Bank of America,https://media.licdn.com/dms/image/v2/C4D0BAQEL1rI2h3XGxg/company-logo_100_100/company-logo_100_100/0/1676325271208/bank_of_america_logo?e=1737590400&v=beta&t=EEZ-fRexM-rG3Z38HIIjtUL03HuCAEgy2id66XpqdsM
Wells Fargo,https://media.licdn.com/dms/image/v2/C4D0BAQGLxWPpGqaVmw/company-logo_100_100/company-logo_100_100/0/1630471638964/wellsfargo_logo?e=1737590400&v=beta&t=pzLsOltbENFh-dEfhpplsfC1bmb6mc_KlHQglC9Sofg
FedEx,https://media.licdn.com/dms/image/v2/D4E0BAQGD5YgN_Px5rA/company-logo_100_100/company-logo_100_100/0/1706893081795/fedex_logo?e=1737590400&v=beta&t=jcu_41xorFZCfiVmNXQ2KyurGuQ38o3Y7Us1BZiGIiY
Adobe,https://media.licdn.com/dms/image/v2/C560BAQFrtK-ioO1rsQ/company-logo_100_100/company-logo_100_100/0/1630645864762/adobe_logo?e=1737590400&v=beta&t=kOOi444U_vVpSMuNielA1WvQw2Rp6pDjkzN_5FLmtIQ
Cognizant,https://media.licdn.com/dms/image/v2/D4E0BAQHjkUYrDIUKYA/company-logo_100_100/company-logo_100_100/0/1719839886088/cognizant_logo?e=1737590400&v=beta&t=DSiYYsTFdp2Z4xtZDKtK0JEXc7o6Y5aUjCfpQhUD65c
Amazon,https://media.licdn.com/dms/image/v2/C560BAQHTvZwCx4p2Qg/company-logo_100_100/company-logo_100_100/0/1630640869849/amazon_logo?e=1737590400&v=beta&t=SDAznfKWVbhZwKEb02_jfXp6TvJZZUaal5_he4EyUfQ
Microsoft,https://media.licdn.com/dms/image/v2/C560BAQE88xCsONDULQ/company-logo_100_100/company-logo_100_100/0/1630652622688/microsoft_logo?e=1737590400&v=beta&t=a5BfYMPshbXnoxiHk30Wl0sC4qhcQk7-W9RQlCJo1ug
Google,https://media.licdn.com/dms/image/v2/C4D0BAQHiNSL4Or29cg/company-logo_100_100/company-logo_100_100/0/1631311446380?e=1737590400&v=beta&t=ngvPgSJ8bXSNCHJI7yPJ1lPy-6xzgaRZd-iSaeVP61s
LinkedIn,https://media.licdn.com/dms/image/v2/C560BAQHaVYd13rRz3A/company-logo_100_100/company-logo_100_100/0/1638831590218/linkedin_logo?e=1737590400&v=beta&t=aiR6j_5ng7JJ6AAVvEy0nLUniaCQbB0LyIq0Vnp02e4
Palantir Technologies,https://media.licdn.com/dms/image/v2/C4D0BAQGxa0XGCRty6A/company-logo_100_100/company-logo_100_100/0/1644957302590/palantir_technologies_logo?e=1737590400&v=beta&t=846BhpUbD7f4qJf9Fbll8yZcfBmjX1rLt4NK0oSHdSc
TED Conferences,https://media.licdn.com/dms/image/v2/C4E0BAQFDYasy3Lvq9Q/company-logo_100_100/company-logo_100_100/0/1675197543507/ted_conferences_logo?e=1737590400&v=beta&t=do905O-_AD1z5HH2-RVQK3He97a-VOuIFWVCvnqzHyI
LinkedIn Guide to Networking,https://media.licdn.com/dms/image/v2/C560BAQGoCnyxrg-bww/company-logo_100_100/company-logo_100_100/0/1630563741668/linkedin_member_guide_logo?e=1737590400&v=beta&t=gkwYZqGVxLdFw9SxD1OOxtBV62AP0KEylCGfaM4qZq4
LinkedIn News,https://media.licdn.com/dms/image/v2/C4E0BAQHcgw1ektoWNw/company-logo_100_100/company-logo_100_100/0/1630643541065/linkedin_news_logo?e=1737590400&v=beta&t=Q-IUvcOS3UOPNZAhMCLhwvvXuMp5KFpPNKjgdqy64-g
Cisco,https://media.licdn.com/dms/image/v2/D560BAQEtoQW10RlJSw/company-logo_100_100/company-logo_100_100/0/1728669425037/cisco_logo?e=1737590400&v=beta&t=Rbm96r0dttZb39_fXbdIdNXsljJyHE4--2jMXHny5SQ
Meta,https://media.licdn.com/dms/image/v2/C4E0BAQFdNatYGiBelg/company-logo_100_100/company-logo_100_100/0/1636138754252/facebook_logo?e=1737590400&v=beta&t=JoCOJ7Sb8EegWKbe1QRqwKAGGJkLXxWIe_bf3ah-jjQ
Forbes,https://media.licdn.com/dms/image/v2/D4E0BAQF67bPz45hiLw/company-logo_100_100/company-logo_100_100/0/1696813943410/forbes_magazine_logo?e=1737590400&v=beta&t=TUROlkxcqHfaB-ryJnbShB0fbasWQxLulDTn6C0Vf40
Business Insider,https://media.licdn.com/dms/image/v2/D4E0BAQH5XQv8BsAq5w/company-logo_100_100/company-logo_100_100/0/1699965585156/insiderbusiness_logo?e=1737590400&v=beta&t=o4D5AkY8wbIKkz-6QmGfbTJWB4AtvTZY-FEi9723hBk
AT&T,https://media.licdn.com/dms/image/v2/C560BAQE6Wr9RUG3OuA/company-logo_100_100/company-logo_100_100/0/1631399436556/att_logo?e=1737590400&v=beta&t=yUqmeEAX8mjbtpMJHLplUMXzNyr9xze_cFHTYY8akSQ
The Wall Street Journal,https://media.licdn.com/dms/image/v2/C4D0BAQErTDc9V8YLdg/company-logo_100_100/company-logo_100_100/0/1630536546293/the_wall_street_journal_logo?e=1737590400&v=beta&t=faMbPJ4ROFRoMJtyPbwpsxF0stm7JwyVZO3NbzY2syg
Salesforce,https://media.licdn.com/dms/image/v2/C560BAQHZ9xYomLW7zg/company-logo_100_100/company-logo_100_100/0/1630658255326/salesforce_logo?e=1737590400&v=beta&t=01TkuK5IjPJ9c3NS6_Y-SxNWwj0-neN51KuDpDFM1Bg
Adobe,https://media.licdn.com/dms/image/v2/C560BAQFrtK-ioO1rsQ/company-logo_100_100/company-logo_100_100/0/1630645864762/adobe_logo?e=1737590400&v=beta&t=kOOi444U_vVpSMuNielA1WvQw2Rp6pDjkzN_5FLmtIQ
GitHub,https://media.licdn.com/dms/image/v2/C560BAQFmuLSyL1nlPA/company-logo_100_100/company-logo_100_100/0/1678231359044/github_logo?e=1737590400&v=beta&t=XigG5Bta5zdazelO-vONDjS9JU7OgksZEd2bAO1evNU
The New York Times,https://media.licdn.com/dms/image/v2/C560BAQEp-f9Ptu2yVQ/company-logo_100_100/company-logo_100_100/0/1631319717018?e=1737590400&v=beta&t=s6SmC2GFvXDCwTfQh_VffQwF1ulmNLPgVfk_TyoY2tY
Upwork,https://media.licdn.com/dms/image/v2/D560BAQFHVb6ZSCipCw/company-logo_100_100/company-logo_100_100/0/1727104517379/upwork_logo?e=1737590400&v=beta&t=Qy3wzWMu1ErYtxyhZkEgdMe_f1YMUdPGRe_GywYbXHk
